acc0	acc1	acc2	gyro0	gyro1	gyro2	mag0	mag1	mag2	x	y	z	beta	Qx	Qy	Qz	Qw	delta_t	delta_x	delta_y	delta_z
-0.0019	0.0013	-0.0003	-0.0136	0.0171	0.0003	-0.5292	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.4131	0.0	0.0	0.0
-0.0029	0.0003	-0.0003	-0.0205	0.0094	0.0	-0.5292	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.081	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0256	0.0086	-0.0016	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.0774	0.0	0.0	0.0
-0.0029	0.0013	-0.0003	-0.0222	0.0124	-0.0014	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0125	0.009	0.02	0.001	1.0	0.081	0.0	0.0	0.0
-0.0029	0.0013	-0.0003	-0.0182	0.0031	0.0011	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0128	0.005	0.02	0.0	1.0	0.2421	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0159	0.0062	-0.0014	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.0936	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0176	0.0039	-0.0011	-0.5292	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.081	0.0	0.0	0.0
-0.0039	0.0013	0.0007	-0.0228	0.0078	-0.0034	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.1719	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0171	0.014	-0.0011	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.081	0.0	0.0	0.0
-0.0029	0.0003	0.0007	-0.0188	0.0062	-0.0043	-0.5292	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.4194	0.0	0.0	0.0
