175020,1025	-0,623	0,222	-0,250	1,000	37,405
175020,1265	-0,623	0,222	-0,250	1,000	37,412
175020,1444	-0,623	0,222	-0,250	1,000	37,401
175020,1524	-0,623	0,222	-0,250	1,000	37,411
175020,1763	-0,623	0,222	-0,250	1,000	37,400
175020,1943	-0,623	0,222	-0,250	1,000	37,409
175020,2023	-0,623	0,222	-0,250	1,000	37,403
175020,2272	-0,623	0,222	-0,250	1,000	37,400
175020,2442	-0,623	0,222	-0,250	1,000	37,404
175020,2521	-0,623	0,222	-0,250	1,000	37,406
175020,2771	-0,623	0,222	-0,250	1,000	37,399
175020,2940	-0,623	0,222	-0,250	1,000	37,407
175020,3020	-0,623	0,222	-0,250	1,000	37,397
175020,3269	-0,623	0,222	-0,250	1,000	37,404
175020,3439	-0,623	0,222	-0,250	1,000	37,411
175020,3529	-0,623	0,222	-0,250	1,000	37,406
175020,3768	-0,623	0,222	-0,250	1,000	37,405
175020,3938	-0,623	0,222	-0,250	1,000	37,397
175020,4017	-0,623	0,222	-0,250	1,000	37,410
175020,4277	-0,623	0,222	-0,250	1,000	37,413
175020,4436	-0,623	0,222	-0,250	1,000	37,407
175020,4516	-0,623	0,222	-0,250	1,000	37,416
175020,4775	-0,623	0,222	-0,250	1,000	37,404
175020,4935	-0,623	0,222	-0,250	1,000	37,407
175020,5025	-0,623	0,222	-0,250	1,000	37,410
175020,5254	-0,623	0,222	-0,250	1,000	37,409
175020,5424	-0,623	0,222	-0,250	1,000	37,409
175020,5503	-0,623	0,222	-0,250	1,000	37,411
175020,5773	-0,623	0,222	-0,250	1,000	37,393
175020,5942	-0,623	0,222	-0,250	1,000	37,411
175020,6022	-0,623	0,222	-0,250	1,000	37,394
175020,6271	-0,623	0,222	-0,250	1,000	37,408
175020,6441	-0,623	0,222	-0,250	1,000	37,408
175020,6521	-0,623	0,222	-0,250	1,000	37,403
175020,6800	-0,623	0,222	-0,250	1,000	37,408
175020,7129	-0,623	0,222	-0,250	1,000	37,404
175020,7189	-0,623	0,222	-0,250	1,000	37,421
175020,7348	-0,623	0,222	-0,250	1,000	37,416
175020,7448	-0,623	0,222	-0,250	1,000	37,412
175020,7518	-0,623	0,222	-0,250	1,000	37,401
